BusinessID,anurag,alisa,dixin,ronnie (haining),minyi,anthony,vignesh,alex,tuan ,yuxuan,bingjie,xiaoran,ruixuan,hongbo,chen,jimmy,keerat,yulin
5A141748,25058.80035,3863080,850730.4,261454.81,3997582.372,2207046.639,5440.23,877517.12,3014.219737,1450603.5,470501.0574,522067.5119,52447.15797,38525.04331,57831.62453,531848.5468,259531.8243,51714
8A141761,32248.18748,3545200,991391.5,399519.94,3997582.372,954443.5541,2516.79,810474.68,3491.715845,1521035.1,430148.8597,488454.4416,215174.0128,54300.28492,71375.89104,80335.36583,905000,54387
5A141937,18087.644,3027520,735612.5,345419.5,3997582.372,4645238.911,7765.42,747408.47,2232.601702,1304295.9,359202.2569,414117.8779,30860.04506,38592.08548,43780.48996,796593.0743,1141800,62093
1A142085,29334.88523,2199160,528779.6,152939.1,3997582.372,1716950.564,3793.15,475456.51,4885.90597,1402300.8,266184.454,302219.4239,32679.03097,40821.68719,46332.07904,814818.1712,253825.4355,48638
3A142152,14876.54934,1509040,319620.7,82499.516,3997582.372,2212906.538,3152,321979.79,2657.561456,1132274.4,187190.9373,187302.1402,26327.70111,55498.31663,55977.91212,4059267.646,5000,51773
6A142180,1376.010232,1669960,429293.6,191295.47,3997582.372,1937281.396,2611.2,425105.92,3220.427686,1162317.9,202970.1953,214706.9595,28057.43937,74818.27065,53906.71772,436040.424,105754.1584,57556
6A142289,37189.51791,2500840,583990.4,416055.84,3997582.372,615524.9511,3366.34,572400.84,4052.901091,1211948.5,295842.0549,336101.0996,28796.57695,144224.7846,64040.60514,725288.8212,165779.2212,57025
8A142417,9062.862225,794800,169785,97491.625,3997582.372,6123071.361,2408.64,186989.68,2293.288632,1123666.8,97845.0112,109711.1754,55695.19974,39676.58841,42647.2647,2391399.683,5000,88031
4A142689,1347.803502,1315360,320192.7,159451.34,3997582.372,1612584.486,7011.13,300099.3,2074.550938,1273345.6,158093.0676,167639.4255,43120.55304,101718.4824,76991.5987,1471353.802,111832.3516,18246
3A142764,1257.25461,1437040,339065,145330.88,3997582.372,3089816.135,2343.81,297810.14,1756.945512,1247510.5,159973.8424,180976.1423,51238.36937,45252.65402,53329.91977,143932564.8,1094200,20928
7A142775,14921.8345,1000,915096.6,327135.3,3997582.372,2993229.676,2853.78,948126.77,1996.017759,1490534.5,486823.3771,494099.9312,29813.37639,97914.16673,73039.52847,474118.652,5000,51166
7A142814,9767.458264,1039600,213201.5,165259.56,3997582.372,2375436.352,1729.59,265309,2134.528558,979558.94,116595.3763,130657.1673,31531.55955,70213.53542,26213.68253,1162018.638,286769.9093,26767
8A142856,20589.89834,1123120,311076.6,125008.234,3997582.372,4227059.685,3045.98,232645.05,4756.208969,1200711,138085.2649,153647.3183,34641.03088,49873.79765,85303.99073,4394707.719,5000,50789
6A142859,44302.26653,6108760,1403088.2,1272003.4,3997582.372,1791189.062,8894.78,1443961.7,4926.233541,1652356.2,754048.455,859632.6718,33071.35799,49557.08246,62620.66071,267774.6933,890500,53948
2A142862,37314.16355,2409040,625421.5,397266.66,3997582.372,1275282.022,1948.45,587188.89,4497.413666,1197978.2,287218.298,330022.9524,91930.36068,54828.25271,82692.46301,373620.7585,916400,45190
9A142900,1250.000001,1000,615104.4,103748.125,3997582.372,1722325.159,2446.99,632311.38,1997.327046,1433733,338558.0821,370325.7027,66101.73872,49703.14662,65394.69174,1148251.75,747500,107253
6A142916,80693.45505,1000,1981920,1111581.9,3997582.372,4336282.261,8447.09,1604183.64,4638.73332,1798465.2,892945.5691,938305.954,52324.92612,82570.06632,43009.24873,30284.3613,5000,45577
5A142922,26469.12587,1915840,407967.3,122279.14,3997582.372,2505169.722,3107.58,400917.21,2041.441433,1096230.4,226207.4162,240937.6059,29761.4415,53523.49782,53720.2421,444131.3597,1245300,79027
1A143019,29400.19614,2279080,546739.2,265941.53,3997582.372,1908797.173,2028.86,594362.64,3716.980749,1184970.1,266515.2836,305191.0658,56644.30905,116712.6351,30843.5017,796219.9763,131630.8606,48957
7A143323,18655.30988,1036360,286162,281400.66,3997582.372,2606485.983,6045.35,214228.46,2594.070272,1016337.8,113953.643,139256.7124,38389.30141,53697.67399,73781.07477,5629151.396,109334.0631,80226
7A143428,23719.25591,2855800,641537,319073.84,3997582.372,1290888.709,4934.62,743942.02,2565.129091,1489416.6,344022.8767,359534.6206,41447.14611,84443.12588,49694.75993,252738.9288,5000,41030
7A143551,36410.94662,1648000,441487.5,188525.1,3997582.372,1915014.226,2782.66,329971.49,6146.747729,1168690.5,196254.7186,215696.3139,43471.35909,41087.57053,66561.90684,511057.1342,903100,34290
8A143645,13730.63186,2372680,600166.8,288797.84,3997582.372,2751235.591,3260.86,563922.49,7541.94735,1261511.6,292261.315,323005.4672,43062.25149,74421.04766,68772.88018,964568.288,57642.68231,26338
7A143675,50738.97545,7213600,1771094,684915.2,3997582.372,1269423.093,4114.93,1763991.25,3523.327498,1949255.6,873725.4135,1011748.992,25101.79885,46030.72468,87612.48712,55236.98228,163808.0342,86314
4A143738,21301.83157,1252720,263904.3,155208.56,3997582.372,1240458.215,4088.42,273649.99,3582.741767,1120450.4,145071.9992,170323.5319,29483.80288,85241.63751,40852.42354,2396133.203,5000,52691
1A143761,17955.4386,1680760,392410.6,166020.83,3997582.372,1908985.55,2868.56,355197.02,2957.103259,1178823.9,205107.0398,218631.8274,24479.62895,109330.6384,29942.22506,1074884.241,5000,25406
2A143947,23781.00956,2604880,679902,318320.47,3997582.372,2847725.655,3846.61,624594.65,2887.267912,1350033.5,316258.517,358215.2671,40781.00374,78586.07359,28081.84886,284013.1722,5000,60489
0A144036,1340.945304,2920240,687643.2,202518.5,3997582.372,1775364.08,9558.17,718488.67,2704.256191,1468274.9,356343.7795,406163.1986,23477.41771,50837.15004,34512.80943,796321.896,1125300,64625
0A144121,31970.78559,4143160,954998,621581.6,3997582.372,1408656.1,26219.47,1049223.36,5193.32891,1452698.5,509829.118,577064.4602,44081.75046,58557.01689,41739.14206,292755.1842,5000,45923
2A144364,1250.000001,4139200,1119613,590275.6,3997582.372,7346691.825,3292.25,886449.49,2380.482213,1586789,501767.6357,562986.548,32005.04771,76265.94727,38835.3866,265855.6935,972500,45649
3A144411,21263.17282,2631160,580096.4,228421.44,3997582.372,1309178.954,7063.76,668647.1,2282.248305,1204667.1,311478.7291,356265.6712,39964.90594,80812.98899,24837.3874,371974.4863,229449.3674,52325
1A144495,16227.81727,1000,729259.2,287340.56,3997582.372,1149419.202,2961.46,726047.22,2143.85679,1442252.8,372481.6584,402180.9361,27220.75839,52431.84621,25933.5999,529026.8407,1849100,73837
6A144566,20372.98998,3805840,791618.1,81063.06,3997582.372,1805441.188,8683.16,961149.91,2568.844454,1547297.8,457861.168,514023.4205,37951.86081,84351.83764,29963.09787,784948.5679,5000,47897
8A144733,1308.319013,2301040,629316.5,309546.53,3997582.372,806242.4314,4418.27,492688.44,2412.940646,1353295.1,278225.8784,317056.2287,45065.08074,42065.77946,34151.77784,621312.994,897400,45178
9A144734,1312.338203,2404000,505297.5,314176.4,3997582.372,1260672.205,14388.06,558104.78,2599.448229,1252012.5,293238.5906,331809.2944,24750.60933,43627.8941,27917.80005,731235.2179,123405.9355,54963
1A144865,14863.23649,2455480,625892.4,241412.72,3997582.372,1959738.282,8082.3,484916.09,2414.007695,1363237.1,292728.7786,325929.2642,30417.60302,56586.2409,35269.39476,1079223.14,1163700,26526
3A144910,9729.637274,1675360,368359.2,255982.98,3997582.372,5320193.731,2301.58,418174.93,2081.959017,1114108.6,191786.1845,221108.6617,48281.13195,45752.69131,30305.06142,536752.5954,831600,53950
5A144940,8779.47077,1178560,290464.8,113769.59,3997582.372,3277449.104,225529.42,260434.14,2003.512222,1170336.4,136392.7541,140795.4797,28453.37361,88167.34495,27966.49085,6539916.753,943200,25084
3A145204,1250.000001,3378520,718661.2,226975.16,3997582.372,2687691.805,4488.51,872742.6,2315.618195,1314004.6,408767.6682,443504.9827,26875.9394,93357.25221,55603.03646,515143.7869,5000,46502
1A145316,10888.05273,1009720,211831.2,147442.89,3997582.372,1204662.995,2872.96,240783.85,2331.250891,1235292.2,119590.8694,128961.1238,35065.77711,108428.5668,27533.13425,1231527.036,5000,39152
4A145379,1250.000001,3011320,764286.8,269517.78,3997582.372,2262821.83,6399.24,743634.03,2022.407249,1257908.8,354789.5017,393499.8662,34226.41588,76715.95476,41725.77883,766597.1521,105754.1584,40758
7A145508,4064.827087,634240,135091.2,78798.92,3997582.372,2567068.151,1737.16,151900.41,1928.16852,1191643.8,67492.69936,74288.19393,35778.52366,50368.11444,68480.11933,1371880.023,1076500,20634
2A145514,6568.873825,3630520,767240.2,255412.94,3997582.372,4761488.676,2226.57,896514.73,1881.85485,1408699.6,431965.5822,431506.3821,37008.9264,40948.72643,51827.92845,509832.3888,1079700,43626
5A145695,13554.48302,1055800,271025,84106.7,3997582.372,3564155.286,2048.13,272124.88,2928.53013,1022753.25,113194.5952,140257.6877,45963.39989,73026.39762,39011.56612,3057794.049,5000,51815
3A145702,37938.83375,3142000,656992.5,541197.3,3997582.372,1883345.199,2288.33,742233.88,2913.369866,1484221,376247.9608,414511.633,38837.23131,49225.99864,26765.88208,341619.7844,5000,27610
