BusinessID,premium_charged,ClaimAmount,awarded
002A7324,10413.29,9653.946756,0
001A7334,17094.9,12825.03427,0
007A7348,13091.37,0.0,0
002A7387,12399.42,0.0,0
003A7556,11642.6,0.0,0
004A7570,11563.3,0.0,0
008A7589,8861.2,0.0,0
004A7594,8663.01,39148.45182,0
003A7799,13412.69,0.0,0
007A7844,8875.55,0.0,0
007A7962,7620.27,0.0,1
002A8043,6144.03,0.0,0
006A8068,13423.09,0.0,0
009A8081,8216.23,0.0,0
002A8580,511459.25,0.0,0
005A8592,10468.8,0.0,0
009A8626,6288.07,0.0,0
008A8641,17120.87,32430.75073,0
001A8662,17026.9,51676.45511,0
006A8740,5618.83,0.0,0
002A8812,42317.4,154100.9597,0
003A8888,26124.76,0.0,0
002A8920,6393.61,0.0,0
001A8934,5407.68,0.0,1
008A8998,27977.95,0.0,0
007A9002,5658.52,66832.92134,0
004A9083,6808.36,0.0,0
008A9139,7746.36,0.0,0
001A9181,19983.68,0.0,0
006A9182,14015.42,0.0,0
005A9727,9904.4,0.0,0
009A9836,5479374.5,0.0,0
003A9864,7888.26,47205.02729,0
03A10031,9572.91,19608.56956,0
02A10059,13989.13,0.0,0
01A10137,10302.53,0.0,0
08A10268,10418.18,0.0,0
07A10341,6087.85,0.0,0
03A10397,41318.0,0.0,0
05A10446,5607.88,0.0,0
07A10697,42134.53,0.0,0
07A10735,17466.56,0.0,0
02A10776,10876.41,0.0,0
07A10824,5613.28,0.0,1
06A10865,11069.74,0.0,0
08A10899,15497.47,0.0,0
03A10934,23486.5,0.0,0
08A10940,6771.51,0.0,0
08A11036,6460.12,0.0,1
03A11139,6788.37,0.0,0
06A11177,10199.51,0.0,0
02A11252,35908.47,0.0,0
02A11452,16004.65,0.0,0
07A11483,18128.22,0.0,0
03A11515,12981.29,0.0,0
06A11587,7760.89,0.0,0
03A11685,16980.64,25445.29259,0
04A11823,7318.18,0.0,0
04A11889,8304.8,0.0,0
03A11938,13750.44,8702.626358,0
07A11939,6585.1,0.0,0
02A11959,6560.85,0.0,0
06A12218,20859.21,0.0,0
06A12311,6762.37,14156.61696,1
02A12325,6048.99,0.0,0
03A12396,13526.45,22304.26161,0
06A12467,10264.33,0.0,0
07A12480,14296.3,0.0,0
02A12507,14453.79,0.0,0
